feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
53.836048318271274,,1.5094681799278407,548.7642863102739,2008.886061730978,285.5847130486127
58.430643776232245,5.210017806687551,1.5462197092069436,556.6627697943395,2006.6221270562487,253.93114808897818
55.50416893312863,5.034246127076927,1.515203201447484,506.7993914073671,2325.535947835703,617.9470267359197
,6.431515427245065,1.609275047026445,574.3824342656706,2298.2754563382878,258.36751279722364
58.533071184179605,5.1771807714348475,1.383851148455777,566.3441495736549,2358.185999482507,286.7915740095042
55.53489705862832,5.187663489966894,1.5984602630370954,549.6449872203187,2210.1898275055987,361.3968845272424
55.62279308626102,5.367271836821603,1.4419358962217295,535.0698375421067,2957.480169149187,285.73171661955945
58.930048768555565,5.145046774944151,1.7976740678495895,608.7878499511174,2727.863707164574,306.1176793429003
58.61043686907087,5.878530275994061,1.721170969483728,571.1198385328424,2787.8423100015275,342.63532353973886
55.70277620779615,5.639252511138462,1.360599049672002,575.1209085375,2822.048905673261,407.53983265213947
58.82878619139546,6.001840090436907,1.674230598757656,543.9641343670132,3037.947567114456,216.592674200831
58.531500744316595,5.431714745884696,1.4513635629029182,539.6624250405673,2348.2394844119676,458.8699004809836
55.55195747606201,5.050797990381117,1.8367761341911668,571.8075554694017,2450.692775428725,520.502647454143
59.05585034584925,5.4120585604827065,1.2954472214526047,563.5889851838419,1451.9944506686563,474.82985568319447
,5.160195243174603,1.346052588035303,581.6724368447747,2294.7145888825903,311.08833485576946
58.325942617931034,5.831742808971959,1.5765926672951482,576.3920723324354,2079.976893874828,342.5597526298513
59.12861212380427,5.174564385356857,1.6104628498868623,547.273017693246,2637.119256818805,414.50056375398975
55.723077582312236,5.798771279080167,1.5009696179501302,,1405.2326623383753,454.9923791436458
56.21484718209532,5.683377097266568,1.5495169277677965,579.699552944304,1051.5259154744226,438.71047830347413
53.31096516976123,6.305834487728021,1.687103530659015,568.3633049477453,3440.171166407002,336.8779422566547
58.590109976785165,5.136448905026088,1.8641871449153085,544.9111349955094,3465.4608157309326,468.68088380794705
53.69891048345111,5.049500420080372,1.2592549531849018,562.4495522727639,,553.6813604920526
55.5723018518367,5.29119880633751,1.5826213043090342,576.3379819433162,2154.5867251488316,231.99759967814785
58.50311842431695,5.435969717638436,1.2592088736862501,563.4059156057117,2006.8670542713446,461.7581442667075
58.72442923374979,6.017777812529356,1.3885344202299035,570.4776025863254,2415.9524238797007,412.8141753050687
59.13900283741572,5.327867832315526,1.5529727010834877,540.3332879100262,2679.8570480904514,387.7868409776229
56.98424450910807,6.107525866177912,1.652154282391313,546.8652900794093,2708.4015551140965,339.6323989932946
58.77446058888008,5.1613556057085175,1.4014838515363515,528.1936643689983,2154.452368909486,171.4723861433517
58.56381607216662,6.0462311763217365,1.6406754903418317,563.445305377166,3241.474567642242,657.5180369954561
58.687767247674486,5.931402642914515,,542.7197530514269,2987.8217751012207,308.9260407942042
58.87033179335836,5.200598921352386,1.6010609411402972,561.532600060733,1360.3964363060622,365.5600598254442
58.68523880881087,6.133509532072516,1.6272492922535564,554.2249684072153,2245.595243906255,390.8100318944047
58.49233592059932,5.14936259173031,1.6966053019540457,,2704.1336395367316,410.7095811432277
58.29819369238235,5.270768046722547,1.523520058381361,588.2935574097467,3501.2260351329473,438.498165547592
54.89523919314512,6.054885205283349,1.4631900441822867,531.7360272452981,2021.0856378459298,506.4920655319162
55.44447363506332,4.761396321050693,1.65800231763303,575.6512056108389,3109.8794412409084,455.4513118782388
55.62878419806715,5.407976978697224,1.585541464055882,578.6863086529454,,470.0409106712137
55.63709605273685,5.517374601660187,1.610513841348619,569.8245037632835,4071.546026215505,328.3550165342571
55.57698422931055,5.237346175864808,1.3724447834072602,562.3840455994746,3193.6286473999035,470.03578695726566
58.71973897616215,5.892851494516788,1.4292205483799059,566.9603931494668,1331.9692085930674,511.323188067566
58.78975480526206,5.967066535830706,1.428402276568643,567.4240819798563,2995.59798601414,589.2578410135865
58.75858563905129,6.0051726219280654,1.4604715578859224,544.7130051931914,1485.4795075567827,280.76460999087044
56.291155657440875,5.851490343501352,,521.690578965673,1664.5343496651865,552.2654801767018
55.58953490345642,5.175967992397538,1.672264764045981,591.2878267654319,2307.2189492663147,431.66824746857657
55.81721551109321,5.339647565503299,1.623409404705277,617.4607014753742,3048.9975531122027,307.5102448564128
55.60985421129071,5.264402025539036,1.6535440089885172,549.2910790245222,,274.0932712243218
53.36703407496772,6.327437438930005,1.606705060547677,546.0468247421005,993.7321000367547,249.72798548293372
59.18247332777868,6.422779306453494,1.463228249090382,599.5747454206947,2351.9018337336533,311.45604894096516
55.63108365424048,,1.6387513088201877,535.1191708886989,1493.4824262273432,507.1755250694506
